contract,token_name,price
0x25481F1tAaz5x1HUXrCNLbtMDqcw6o5GNn4xqX45,BTC,58249.94
0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,4248.32
0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,1.80
0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,1.06
0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,40.21
0xba2ae424d960c26247dd6c32edc70b295c744c43,DOGE,0.2231
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,0.00004463
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,CRO,0.7661
0x4338665cbb7b2485a8855a139b75d5e34ab0db94,LTC,215.22
0x50332bdca94673f33401776365b66cc4e81ac81d,CCAR,1.05
0x3506424f91fd33084466f402d5d97f05f8e3b4af,CHZ,0.313
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,MANA,3.66
0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,AXS,108.47
0x3845badAde8e6dFF049820680d1F14bD3903a5d0,SAND,5.13
0x16939ef78684453bfdfb47825f8a5f714f12623a,XTZ,5.23
0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA,GALA,0.4614
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ,2.72
0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,1.01
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,17.03
0xff20817765cb7f73d4bde2e66e067e58d11095c2,AMP,0.05621
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,AVAE,183.90
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,CAKE,11.82
0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,BCH,472.23
0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b,TRX,0.09086
0x514910771af9ca656af840dff83e8264ecf986ca,LINK,21.97
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,49120.56
0x4338665cbb7b2485a8855a139b75d5e34ab0db94,LTC,157.06

